document_id,page,total_pages,status,reason,raw_chars,clean_chars,chunks_generated
ai_device_software_guidance_FDA_2025,1,67,INDEXED,,2319,1773,2
ai_device_software_guidance_FDA_2025,2,67,INDEXED,,1418,1207,1
ai_device_software_guidance_FDA_2025,3,67,NONINFORMATIVE_REMOVED,toc_start,3446,3187,0
ai_device_software_guidance_FDA_2025,4,67,INDEXED,,2942,2530,3
ai_device_software_guidance_FDA_2025,5,67,INDEXED,,3971,3585,4
ai_device_software_guidance_FDA_2025,6,67,INDEXED,,3898,3470,4
ai_device_software_guidance_FDA_2025,7,67,INDEXED,,4197,3777,4
ai_device_software_guidance_FDA_2025,8,67,INDEXED,,3812,3426,4
ai_device_software_guidance_FDA_2025,9,67,INDEXED,,4775,4346,5
ai_device_software_guidance_FDA_2025,10,67,INDEXED,,4126,3671,4
ai_device_software_guidance_FDA_2025,11,67,INDEXED,,3689,3246,4
ai_device_software_guidance_FDA_2025,12,67,INDEXED,,3832,3191,4
ai_device_software_guidance_FDA_2025,13,67,INDEXED,,3977,3579,4
ai_device_software_guidance_FDA_2025,14,67,INDEXED,,3776,3381,4
ai_device_software_guidance_FDA_2025,15,67,INDEXED,,3701,3248,4
ai_device_software_guidance_FDA_2025,16,67,INDEXED,,3063,2471,3
ai_device_software_guidance_FDA_2025,17,67,INDEXED,,3422,2735,3
ai_device_software_guidance_FDA_2025,18,67,INDEXED,,3017,2455,3
ai_device_software_guidance_FDA_2025,19,67,INDEXED,,4026,3374,4
ai_device_software_guidance_FDA_2025,20,67,INDEXED,,3758,3324,4
ai_device_software_guidance_FDA_2025,21,67,INDEXED,,3824,3360,4
ai_device_software_guidance_FDA_2025,22,67,INDEXED,,4253,3834,4
ai_device_software_guidance_FDA_2025,23,67,INDEXED,,4151,3413,4
ai_device_software_guidance_FDA_2025,24,67,INDEXED,,3966,3385,4
ai_device_software_guidance_FDA_2025,25,67,INDEXED,,3770,3055,3
ai_device_software_guidance_FDA_2025,26,67,INDEXED,,4401,3442,4
ai_device_software_guidance_FDA_2025,27,67,INDEXED,,4158,3510,4
ai_device_software_guidance_FDA_2025,28,67,INDEXED,,3442,2828,3
ai_device_software_guidance_FDA_2025,29,67,INDEXED,,3951,3508,4
ai_device_software_guidance_FDA_2025,30,67,INDEXED,,4094,3716,4
ai_device_software_guidance_FDA_2025,31,67,INDEXED,,4111,3741,4
ai_device_software_guidance_FDA_2025,32,67,INDEXED,,4035,3604,4
ai_device_software_guidance_FDA_2025,33,67,INDEXED,,3932,3088,4
ai_device_software_guidance_FDA_2025,34,67,INDEXED,,4051,3170,3
ai_device_software_guidance_FDA_2025,35,67,INDEXED,,3817,3330,4
ai_device_software_guidance_FDA_2025,36,67,INDEXED,,4040,3669,4
ai_device_software_guidance_FDA_2025,37,67,INDEXED,,3659,3119,4
ai_device_software_guidance_FDA_2025,38,67,INDEXED,,3988,3422,4
ai_device_software_guidance_FDA_2025,39,67,INDEXED,,3531,2808,3
ai_device_software_guidance_FDA_2025,40,67,INDEXED,,4539,4072,4
