document_id,titulo,tipo,trechos,caracteres,mediana_trecho,perguntas_hoje,sinal_deontico,sinal_deontico_por_mil,sinal_dispositivo,sinal_loja,paginas_ausentes,paginas_ausentes_faixas,sugestao,inicio,fim,fonte,classificacao,destino,licenca,observacao,data_coleta
iso_27001_2022,ISO/IEC 27001:2022,HTML,9,10665,1161,0,4,0.38,0,13,0,,NAO E O DOCUMENTO (catalogo/loja),"Reference number ISO/IEC 27001:2022 © ISO 2026 International Standard ISO/IEC 27001:2022 Information security, cybersecurity and privacy protection — Informatio",vailable for purchase; not included in the text of the existing standard. Published ISO/IEC 27001:2022/Amd 1:2024 Got a question? Check out our Help and Support,"https://www.iso.org/standard/27001",nao_e_o_documento,remover,nao,"Conteúdo indexado corresponde à página de catálogo/comercial da ISO, com marcadores como ""Read sample"", preço em CHF e ""Add to cart"". Não contém o texto integral da norma.",16-09-2026
iso_42001_2023,ISO/IEC 42001:2023,HTML,6,6498,1133,0,0,0.0,0,10,0,,NAO E O DOCUMENTO (catalogo/loja),Reference number ISO/IEC 42001:2023 © ISO 2026 International Standard ISO/IEC 42001:2023 Information technology — Artificial intelligence — Management system Ed,novation and Infrastructure 10 Reduced Inequalities 12 Responsible Consumption and Production 14 Life Below Water Got a question? Check out our Help and Support,"https://www.iso.org/standard/42001",nao_e_o_documento,remover,nao,"Conteúdo indexado corresponde à página de catálogo/comercial da ISO, com marcadores como ""Read sample"", preço em CHF e ""Add to cart"". Não contém o texto integral da norma.",16-09-2026
iso_27701_2025,ISO/IEC 27701:2025,HTML,3,3354,1102,0,1,0.3,0,8,0,,NAO E O DOCUMENTO (catalogo/loja),"International Standard ISO/IEC 27701:2025 Information security, cybersecurity and privacy protection — Privacy information management systems — Requirements and",C 27 ICS : 35.030 RSS updates Life cycle Previously Withdrawn ISO/IEC 27701:2019 Now Published ISO/IEC 27701:2025 Got a question? Check out our Help and Support,"https://www.iso.org/standard/27701",nao_e_o_documento,remover,nao,"Conteúdo indexado corresponde à página de catálogo/comercial da ISO, com marcadores como ""Read sample"", preço em CHF e ""Add to cart"". Não contém o texto integral da norma.",16-09-2026
iso_24368_2022,ISO/IEC TR 24368:2022,HTML,3,3290,1106,0,3,0.91,0,6,0,,NAO E O DOCUMENTO (catalogo/loja),Reference number ISO/IEC TR 24368:2022 © ISO 2026 Technical Report ISO/IEC TR 24368:2022 Information technology — Artificial intelligence — Overview of ethical,Technical Committee : ISO/IEC JTC 1/SC 42 ICS : 35.020 RSS updates Life cycle Now Published ISO/IEC TR 24368:2022 Got a question? Check out our Help and Support,"https://www.iso.org/standard/78507.html",nao_e_o_documento,remover,nao,"Conteúdo indexado corresponde à página de catálogo/comercial da ISO, com marcadores como ""Read sample"", preço em CHF e ""Add to cart"". Não contém o texto integral da norma.",16-09-2026
iso_38507_2022,ISO/IEC 38507:2022,HTML,2,2238,1118,0,0,0.0,0,8,0,,NAO E O DOCUMENTO (catalogo/loja),Reference number ISO/IEC 38507:2022 © ISO 2026 International Standard ISO/IEC 38507:2022 Information technology — Governance of IT — Governance implications of,28 Technical Committee : ISO/IEC JTC 1/SC 42 ICS : 35.020 RSS updates Life cycle Now Published ISO/IEC 38507:2022 Got a question? Check out our Help and Support,"https://www.iso.org/standard/56641.html",nao_e_o_documento,remover,nao,"Conteúdo indexado corresponde à página de catálogo/comercial da ISO, com marcadores como ""Read sample"", preço em CHF e ""Add to cart"". Não contém o texto integral da norma.",16-09-2026
iso_5338_2023,ISO/IEC 5338:2023,HTML,2,2119,1059,0,0,0.0,0,15,0,,NAO E O DOCUMENTO (catalogo/loja),Reference number ISO/IEC 5338:2023 © ISO 2026 International Standard ISO/IEC 5338:2023 Information technology — Artificial intelligence — AI system life cycle p,"This standard contributes to the following Sustainable Development Goal 9 Industry, Innovation and Infrastructure Got a question? Check out our Help and Support","https://www.iso.org/standard/81118.html",nao_e_o_documento,remover,nao,"Conteúdo indexado corresponde à página de catálogo/comercial da ISO, com marcadores como ""Read sample"", preço em CHF e ""Add to cart"". Não contém o texto integral da norma.",16-09-2026
iso_23894_2023,ISO/IEC 23894:2023,HTML,2,1923,961,0,0,0.0,0,8,0,,NAO E O DOCUMENTO (catalogo/loja),Reference number ISO/IEC 23894:2023 © ISO 2026 International Standard ISO/IEC 23894:2023 Information technology — Artificial intelligence — Guidance on risk man,"rowth 9 Industry, Innovation and Infrastructure 10 Reduced Inequalities 12 Responsible Consumption and Production Got a question? Check out our Help and Support","https://www.iso.org/standard/77304.html",nao_e_o_documento,remover,nao,"Conteúdo indexado corresponde à página de catálogo/comercial da ISO, com marcadores como ""Read sample"", preço em CHF e ""Add to cart"". Não contém o texto integral da norma.",16-09-2026
iso_22989_2022,ISO/IEC 22989:2022,HTML,2,1801,900,0,0,0.0,0,9,0,,NAO E O DOCUMENTO (catalogo/loja),Reference number ISO/IEC 22989:2022 © ISO 2026 International Standard ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intellige,the existing standard. Under development ISO/IEC 22989:2022/DAmd 1 Under development ISO/IEC 22989:2022/AWI Amd 2 Got a question? Check out our Help and Support,"https://www.iso.org/standard/74296.html",nao_e_o_documento,remover,nao,"Conteúdo indexado corresponde à página de catálogo/comercial da ISO, com marcadores como ""Read sample"", preço em CHF e ""Add to cart"". Não contém o texto integral da norma.",16-09-2026
predetermined_change_control_FDA_2023,Predetermined Change Control Plans for Machine Learning-Enabled Medical Devices: Guiding Principles,PDF,7,7668,1130,0,1,0.13,0,0,0,,SUSPEITO (pequeno demais),"Predetermined Change Control Plans for Machine Learning-Enabled Medical Devices: Guiding Principles October 2023 In 2021, the U.S. Food and Drug Administration","xisting regulatory, quality, and risk management measures throughout the TPLC to ensure device safety by monitoring, reporting and responding to safety concerns","https://www.fda.gov/media/173206/download?attachment",integro,manter,sim,Documento completo. O conteúdo indexado cobre as duas páginas do documento e contém os cinco princípios de PCCP.,16-09-2026
certificacao_SBIS_,Certificação de Aplicações de Inteligência Artificial em Saúde,HTML,6,6571,1089,0,0,0.0,0,0,0,,SUSPEITO (pequeno demais),"Introdução O Processo de Certificação de Aplicações de Inteligência Artificial em Saúde visa, por meio de uma lista abrangente de requisitos, avaliar e atestar",idualizadas. Exemplo: ferramentas para geração de estimativas agregadas de prevalência de doenças por região ou projeções epidemiológicas internas. Conheça mais,"https://sbis.org.br/certificacoes/certificacao-de-ia/",integro,manter,so metadados,"Página HTML aparentemente completa. Conteúdo cobre introdução, cenários certificáveis e não certificáveis até o encerramento do conteúdo principal.",16-09-2026
