document_id,fonte,http_status,url_final,status,snapshot_chars,fonte_chars,proporcao_fonte_snapshot,snapshot_encontrado_na_fonte_pct,fonte_encontrada_no_snapshot_pct,possiveis_blocos_ausentes,erro
cp_BR_1940,https://www.planalto.gov.br/ccivil_03/decreto-lei/del2848compilado.htm,200,https://www.planalto.gov.br/ccivil_03/decreto-lei/del2848compilado.htm,FORTE_CORRESPONDENCIA,263388,263755,1.001,99.93,99.71,0,
lgpd_BR_2018,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm,200,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm,FORTE_CORRESPONDENCIA,106882,106982,1.001,99.97,99.83,3,
cdc_BR_1990,https://www.planalto.gov.br/ccivil_03/leis/l8078compilado.htm,200,https://www.planalto.gov.br/ccivil_03/leis/l8078compilado.htm,FORTE_CORRESPONDENCIA,82267,82288,1.0,99.97,99.95,0,
lei_8080_BR_90,https://www.planalto.gov.br/ccivil_03/leis/l8080.htm,200,https://www.planalto.gov.br/ccivil_03/leis/l8080.htm,FORTE_CORRESPONDENCIA,71381,72223,1.012,99.87,98.64,3,
resolucao_19_ANPD_2024,https://www.gov.br/anpd/pt-br/acesso-a-informacao/institucional/atos-normativos/regulamentacoes_anpd/resolucao-cd-anpd-no-19-de-23-de-agosto-de-2024,200,https://www.gov.br/anpd/pt-br/acesso-a-informacao/institucional/atos-normativos/regulamentacoes_anpd/resolucao-cd-anpd-no-19-de-23-de-agosto-de-2024,FORTE_CORRESPONDENCIA,63599,64117,1.008,99.28,98.72,0,
lei_14874_BR_2024,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l14874.htm,200,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l14874.htm,FORTE_CORRESPONDENCIA,63188,63288,1.002,99.95,99.76,1,
cf_BR_1988,https://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm,200,https://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm,FORTE_CORRESPONDENCIA,59715,59715,1.0,100.0,100.0,0,
regulamento_interno_CEP_2024,https://www.ufmg.br/bioetica/cep/regimento/,200,https://www.ufmg.br/bioetica/cep/regimento/,FORTE_CORRESPONDENCIA,46861,46861,1.0,100.0,100.0,0,
decreto_44045_BR_1958,https://www.planalto.gov.br/ccivil_03/decreto/1950-1969/d44045.htm,200,https://www.planalto.gov.br/ccivil_03/decreto/1950-1969/d44045.htm,FORTE_CORRESPONDENCIA,40515,40515,1.0,100.0,100.0,0,
lei_3268_BR_1957,https://www.planalto.gov.br/ccivil_03/leis/l3268.htm,200,https://www.planalto.gov.br/ccivil_03/leis/l3268.htm,FORTE_CORRESPONDENCIA,17608,17608,1.0,100.0,100.0,0,
resolucao_2_ANPD_2024,https://www.gov.br/anpd/pt-br/acesso-a-informacao/institucional/atos-normativos/regulamentacoes_anpd/resolucao-cd-anpd-no-2-de-27-de-janeiro-de-2022,200,https://www.gov.br/anpd/pt-br/acesso-a-informacao/institucional/atos-normativos/regulamentacoes_anpd/resolucao-cd-anpd-no-2-de-27-de-janeiro-de-2022,FORTE_CORRESPONDENCIA,12195,12314,1.01,98.23,97.43,0,
eca_BR_1990,https://www.planalto.gov.br/ccivil_03/leis/l8069.htm,200,https://www.planalto.gov.br/ccivil_03/leis/l8069.htm,FORTE_CORRESPONDENCIA,9269,9269,1.0,100.0,100.0,0,
dpia_ICO_,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/accountability-and-governance/data-protection-impact-assessments-dpias/what-is-a-dpia/#what1,200,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/accountability-and-governance/data-protection-impact-assessments-dpias/what-is-a-dpia/#what1,FORTE_CORRESPONDENCIA,9046,8953,0.99,96.17,96.89,1,
lei_6681_BR_1979,https://www.planalto.gov.br/ccivil_03/leis/1970-1979/l6681.htm,200,https://www.planalto.gov.br/ccivil_03/leis/1970-1979/l6681.htm,FORTE_CORRESPONDENCIA,5502,5502,1.0,100.0,100.0,0,
lei_13787_BR_2018,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13787.htm,200,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13787.htm,FORTE_CORRESPONDENCIA,3938,4038,1.025,99.29,96.4,1,
